id;beschreibung;film_id
1000;Eine dysfunktionale Familie reist im VW-Bus quer durch Amerika, damit die kleine Olive an einem Schönheitswettbewerb teilnehmen kann. Dabei lernen sie, was wirklich zählt im Leben.;1000
1001;Miles Morales stürzt sich in ein neues Abenteuer durch das Multiversum und trifft dabei auf eine Armee von Spider-People. Er muss sich entscheiden zwischen dem Schutz seiner Liebsten und dem Schicksal aller Welten.;1001
1002;Der junge Max flieht vor seinen Problemen auf eine mysteriöse Insel, wo die wilden Kerle leben. Dort wird er zum König und lernt wichtige Lektionen über Freundschaft und Familie.;1002
1003;Der unkonventionelle Englischlehrer John Keating inspiriert seine Schüler an einer Elite-Internatsschule, selbstständig zu denken und ihre Träume zu verfolgen. Seine Methoden bringen ihn jedoch in Konflikt mit der strengen Schulleitung.;1003
1004;Die Schwestern Satsuki und Mei ziehen aufs Land und entdecken dort den magischen Waldgeist Totoro. Gemeinsam erleben sie zauberhafte Abenteuer in ihrer neuen Heimat.;1004
1005;Die junge Sophie wird von einer Hexe verflucht und in eine alte Frau verwandelt. Auf der Suche nach Heilung begegnet sie dem Zauberer Howl und seinem wandelnden Schloss.;1005
1006;Mary entdeckt eine mysteriöse Blume, die ihr für eine Nacht magische Kräfte verleiht. Sie wird in die Endor Hexenschule entführt und muss ein dunkles Geheimnis aufdecken.;1006
1007;Die zehnjährige Chihiro verirrt sich in eine Geisterwelt und muss in einem Badehaus für Götter arbeiten, um ihre in Schweine verwandelten Eltern zu retten. Mit Mut und Entschlossenheit kämpft sie um ihre Freiheit.;1007
1008;Popstar Skye Riley bereitet sich auf ihre Welttournee vor, als sie beginnt, verstörende und unerklärliche Ereignisse zu erleben. Sie muss sich ihren dunkelsten Ängsten stellen, bevor es zu spät ist.;1008
1009;Die siebzehnjährige Bella Swan verliebt sich in den geheimnisvollen Edward Cullen und entdeckt, dass er ein Vampir ist. Ihre verbotene Liebe bringt beide in tödliche Gefahr.;1009
1010;Eine ehemalige Auftragskillerin schwört blutige Rache an ihrem früheren Team, nachdem diese sie an ihrem Hochzeitstag niedergeschossen haben. Ihr Weg führt sie durch eine brutale Abrechnung mit jedem einzelnen Mitglied.;1010
1011;Jack Torrance wird Hausmeister des abgeschiedenen Overlook Hotels für den Winter. Die Isolation und übernatürliche Kräfte des Hotels treiben ihn langsam in den Wahnsinn.;1011
1012;Die Geschichte der mächtigen Corleone-Familie und ihres patriarchalen Anführers Don Vito. Sein jüngster Sohn Michael wird widerwillig in das Familiengeschäft hineingezogen.;1012
1013;Joel lässt seine Erinnerungen an seine Ex-Freundin Clementine medizinisch löschen. Doch während des Eingriffs erkennt er, dass er sie nicht vergessen möchte.;1013
1014;Der Waisenjunge Harry Potter erfährt an seinem elften Geburtstag, dass er ein Zauberer ist und nach Hogwarts gehen darf. Dort entdeckt er seine wahre Bestimmung und muss sich dunklen Mächten stellen.;1014
1015;Harry kehrt nach Hogwarts zurück und muss das Geheimnis der Kammer des Schreckens lüften. Ein mysteriöses Monster bedroht die Schüler der Schule.;1015
1016;Harry erfährt von einem gefährlichen Gefangenen, der aus Askaban geflohen ist und es angeblich auf ihn abgesehen hat. Die Wahrheit über Sirius Black ist jedoch komplexer als gedacht.;1016
1017;Harry nimmt am gefährlichen Trimagischen Turnier teil, obwohl er eigentlich zu jung dafür ist. Dunkle Mächte kehren zurück und bedrohen die Zaubererwelt.;1017
1018;Harry gründet eine geheime Vereinigung, um sich gegen Voldemort und seine Todesser zu wehren. Das Ministerium leugnet die Rückkehr des dunklen Lords und arbeitet gegen Harry.;1018
1019;Harry entdeckt das geheimnisvolle Buch des Halbblutprinzen und erfährt mehr über Voldemorts Vergangenheit. Dumbledore bereitet ihn auf den finalen Kampf vor.;1019
1020;Harry, Ron und Hermine begeben sich auf die gefährliche Suche nach den Horkruxen, um Voldemort zu besiegen. Ohne die Sicherheit von Hogwarts müssen sie auf sich allein gestellt überleben.;1020
1021;Die Schlacht um Hogwarts beginnt und Harry muss sich seinem Schicksal stellen. Im finalen Kampf gegen Voldemort entscheidet sich das Schicksal der Zaubererwelt.;1021
